Time,Distance
1.278193,0.0107573
1.284429,0.01385128
1.292742,0.0179547
1.300223,0.02162109
1.30918,0.02597052
1.316362,0.02942051
1.325,0.03351992
1.333234,0.03736889
1.342203,0.0414896
1.348687,0.0444173
1.357153,0.04816876
1.364348,0.05128943
1.372485,0.05473881
1.379319,0.05756593
1.386091,0.06030092
1.39401,0.06341151
1.40097,0.0660637
1.408443,0.06882174
1.413967,0.0707992
1.420363,0.07302117
1.427115,0.0752855
1.434624,0.07770301
1.442428,0.08009946
1.449508,0.0821681
1.45993,0.08502523
1.467702,0.08700592
1.476073,0.08899234
1.483496,0.09062357
1.492144,0.09236634
1.499291,0.0936766
1.506968,0.0949505
1.51422,0.09602548
1.521927,0.09702956
1.530561,0.09798326
1.538308,0.09868356
1.545779,0.09921871
1.553308,0.09961794
1.560792,0.09987491
1.56786,0.09998923
1.575894,0.09996753
1.583212,0.09980737
1.591225,0.09947878
1.59825,0.09905934
1.605738,0.09847772
1.613035,0.09777813
1.620719,0.09690083
1.628371,0.09588497
1.635568,0.09480152
1.643296,0.09350134
1.650555,0.09215312
1.659178,0.09039372
1.666139,0.08885073
1.673871,0.08701087
1.681031,0.08519095
1.689249,0.08296781
1.69525,0.08125585
1.70183,0.07929462
1.709059,0.07704089
1.715816,0.07484357
1.724588,0.07186361
1.732193,0.06916788
1.740316,0.06617855
1.747128,0.06358709
1.753522,0.06108767
1.760054,0.05846981
1.767408,0.055448
1.77607,0.05179304
1.782125,0.04917988
1.790604,0.04544545
1.79759,0.04230671
1.804699,0.03906008
1.812026,0.03566212
1.817797,0.03295175
1.826153,0.02897935
1.832887,0.02574144
1.841072,0.02176603
1.848011,0.01836741
1.855484,0.01468252
1.861624,0.01163947
1.869749,0.007596129
1.877145,0.003904492
1.883576,0.0006899755
1.892647,0.003844651
1.899907,0.007468609
1.908048,0.01152069
1.915591,0.01525771
1.923475,0.01914071
1.930588,0.02261893
1.938113,0.02626679
1.945415,0.02977117
1.95314,0.03343556
1.961229,0.03721912
1.968548,0.04058979
1.976297,0.04409933
1.983402,0.04725936
1.992067,0.05103208
1.998977,0.0539721
2.008953,0.0581025
2.014216,0.06022378
2.022454,0.06346019
2.02956,0.0661654
2.036834,0.06884791
2.044362,0.07152854
2.050815,0.07374562
2.058508,0.07628836
2.064209,0.0781001
2.072163,0.0805214
2.078616,0.08239235
2.08452,0.08402926
2.093574,0.08639648
2.10061,0.08811429
2.108783,0.08997249
2.116158,0.09152031
2.124419,0.09310643
2.131626,0.09436044
2.140379,0.09571856
2.14736,0.09667039
2.154994,0.09757652
2.161958,0.0982792
2.170064,0.09894692
2.177162,0.09939822
2.183662,0.09970168
2.192476,0.09994491
2.199318,0.09999995
2.207928,0.09990292
2.21516,0.09967838
2.222804,0.09929938
2.230425,0.09877712
2.237832,0.09813213
2.245031,0.09737619
2.253316,0.09635016
2.26103,0.09524632
2.268942,0.09396689
2.276597,0.09258892
2.284026,0.0911222
2.292522,0.08929076
2.299444,0.08767928
2.307606,0.08564447
2.314789,0.08373539
2.322435,0.08158483
2.32964,0.07944908
2.337212,0.07709368
2.344198,0.07482255
2.351044,0.07250804
2.359872,0.06939866
2.366224,0.06707727
2.374111,0.06410103
2.380471,0.06162825
2.388667,0.0583505
2.394833,0.0558194
2.403113,0.05233731
2.410639,0.04909479
2.417193,0.04621379
2.425333,0.04256739
2.43242,0.03933458
2.44059,0.03554722
2.44767,0.03221717
2.455428,0.02852171
2.462897,0.02492291
2.470606,0.02117248
2.47846,0.01731913
2.485496,0.01384429
2.493148,0.01004607
2.500578,0.006343741
2.508832,0.00222089
2.516247,0.001486377
2.524128,0.005424255
2.531628,0.009163986
2.539423,0.01303712
2.546644,0.01660783
2.554357,0.02039708
2.562155,0.02419811
2.56936,0.02767709
2.577106,0.03137708
2.583998,0.03462942
2.592551,0.03860876
2.599151,0.04163122
2.607054,0.04519071
2.614115,0.04831116
2.622051,0.05174648
2.629587,0.0549331
2.636681,0.05786189
2.644109,0.06085041
2.651053,0.06356829
2.659281,0.06668951
2.665589,0.06900609
2.673972,0.07197826
2.679883,0.07399844
2.687789,0.0765987
2.695944,0.07915545
2.703154,0.0813066
2.71045,0.08337579
2.719758,0.08585426
2.726866,0.08762184
2.735659,0.0896552
2.743875,0.09139874
2.750882,0.09276384
2.758429,0.09410673
2.794619,0.098657
2.802743,0.09923893
2.810661,0.09964856
2.818432,0.09989874
2.826132,0.09999789
2.833319,0.0999567
2.841206,0.099763
2.848207,0.09946103
2.855819,0.09899455
2.863122,0.09841218
2.870804,0.09765796
2.877204,0.09691954
2.884429,0.09596681
2.892541,0.09474789
2.899205,0.09362978
2.907254,0.09214091
2.914175,0.09074133
2.921592,0.08912081
2.928808,0.08742667
2.93618,0.08557826
2.943733,0.08356422
2.950763,0.08158222
2.958562,0.0792657
2.964578,0.07739624
2.973116,0.07462307
2.979581,0.07243258
2.987436,0.06966963
2.994038,0.06726418
3.002092,0.06423061
3.009653,0.06128781
3.015409,0.05898877
3.023477,0.055684
3.030457,0.05275208
3.038939,0.04910291
3.046732,0.04567198
3.055232,0.04185099
3.06215,0.03868474
3.069974,0.03504885
3.0776,0.03145313
3.084752,0.02803924
3.092941,0.02408649
3.100142,0.02057704
3.107291,0.01706685
3.115162,0.01317685
3.123313,0.009127227
3.130397,0.005594887
3.137914,0.00183899
3.145801,0.002103813
3.152771,0.005586071
3.160847,0.009612259
3.167642,0.0129878
3.175153,0.01670152
3.18597,0.02200711
3.19414,0.02597264
3.201953,0.02972398
3.210797,0.03391568
3.218909,0.03770232
3.2284,0.04205351
3.236394,0.04564537
3.245491,0.04964391
3.258423,0.05514929
3.262622,0.05688831
3.270369,0.06003028
3.27756,0.06286677
3.28407,0.06536413
3.291995,0.06831103
3.298663,0.07070725
3.305962,0.07324044
3.313209,0.07565889
3.320779,0.07807905
3.328153,0.08032914
3.335079,0.08234318
3.34223,0.08431891
3.349222,0.0861465
3.356753,0.08799717
3.364,0.08966023
3.372595,0.09147986
3.379891,0.09289227
3.387061,0.09415975
3.394167,0.09529652
